iter	Logloss
0	0.6196642309
1	0.5585945182
2	0.5083853759
3	0.4661835122
4	0.430470707
5	0.3999743309
6	0.3735391584
7	0.3497126737
8	0.3299171654
9	0.3132232192
10	0.2977732881
11	0.2846209592
12	0.2732641373
13	0.2628014428
14	0.2539933722
15	0.2463093196
16	0.2394663074
17	0.2335105817
18	0.2281949706
19	0.2235000744
20	0.2193529882
21	0.2155006804
22	0.212122222
23	0.2092610718
24	0.2065207053
25	0.2039566689
26	0.2014314781
27	0.1997170404
28	0.1978840287
29	0.1961749032
30	0.1948067524
31	0.1930904223
32	0.1919405256
33	0.1907363855
34	0.189716095
35	0.1882713386
36	0.1874103933
37	0.1866730494
38	0.1858560436
39	0.1848863018
40	0.1844051442
41	0.1835314919
42	0.1820585621
43	0.1815477032
44	0.1810380718
45	0.1804722457
46	0.1799555145
47	0.1789731164
48	0.1785129461
49	0.1777004148
50	0.1761317351
51	0.1755660077
52	0.1750420689
53	0.1742062609
54	0.1736800756
55	0.1733950254
56	0.1730817482
57	0.1728441491
58	0.1726378806
59	0.1721630646
60	0.1717968145
61	0.1715777229
62	0.1713597355
63	0.1711737412
64	0.1708100365
65	0.1707225505
66	0.1702446899
67	0.1698020191
68	0.1694769034
69	0.1691922859
70	0.1687913188
71	0.1685971398
72	0.1682927358
73	0.1681116078
74	0.1679419189
75	0.1676862539
76	0.1674476603
77	0.1670410087
78	0.166979566
79	0.1667337131
80	0.1660915347
81	0.1658555823
82	0.1655845802
83	0.1653630603
84	0.1648204676
85	0.1645296877
86	0.164251757
87	0.1641704396
88	0.1640727965
89	0.1640122748
90	0.1639510281
91	0.1637577982
92	0.1636830637
93	0.1633871337
94	0.1630280328
95	0.1628401916
96	0.1627857355
97	0.1627457184
98	0.1626440467
99	0.1625224927
