iter	Passed	Remaining
0	175	17386
1	188	9242
2	205	6635
3	211	5069
4	218	4146
5	225	3534
6	231	3080
7	238	2737
8	243	2462
9	248	2237
10	253	2047
11	257	1887
12	261	1749
13	265	1630
14	269	1527
15	273	1433
16	276	1350
17	279	1274
18	283	1209
19	287	1148
20	290	1092
21	293	1041
22	297	995
23	300	952
24	304	913
25	307	876
26	311	843
27	316	813
28	320	783
29	323	755
30	327	728
31	331	704
32	334	679
33	338	657
34	342	635
35	345	615
36	349	595
37	352	575
38	356	558
39	360	540
40	363	523
41	367	507
42	371	492
43	375	478
44	379	463
45	383	449
46	386	435
47	390	422
48	393	409
49	397	397
50	401	385
51	405	373
52	408	362
53	412	351
54	416	340
55	419	329
56	423	319
57	426	309
58	432	300
59	437	291
60	441	281
61	444	272
62	447	263
63	451	253
64	454	244
65	458	236
66	461	227
67	465	219
68	468	210
69	472	202
70	476	194
71	480	186
72	484	179
73	487	171
74	490	163
75	494	156
76	498	148
77	502	141
78	505	134
79	509	127
80	512	120
81	516	113
82	520	106
83	524	99
84	527	93
85	531	86
86	535	79
87	538	73
88	542	67
89	545	60
90	548	54
91	552	48
92	555	41
93	559	35
94	562	29
95	566	23
96	569	17
97	573	11
98	576	5
99	580	0
